class	stat	age	trestbps	chol	thalach	oldpeak
45	mean	52.857142857142854	131.42857142857142	223.57142857142858	164.57142857142858	1.0857142857142856
45	std	1.0690449676496978	8.017837257372733	14.432107063270914	4.276179870598791	0.10690449676496971
46	count	7.0	7.0	7.0	7.0	7.0
46	mean	56.285714285714285	139.71428571428572	227.42857142857142	169.57142857142858	2.5142857142857147
46	std	2.1380899352993947	9.621404708847274	4.276179870598792	4.276179870598792	0.8552359741197583
47	count	7.0	7.0	7.0	7.0	7.0
47	mean	47.285714285714285	114.57142857142857	180.0	176.28571428571428	0.0
47	std	5.879747322073336	4.27617987059879	7.483314773547883	17.104719482395158	0.0
48	count	7.0	7.0	7.0	7.0	7.0
48	mean	58.0	153.14285714285714	202.14285714285714	161.85714285714286	0.0
48	std	3.7416573867739427	6.414269805898185	1.0690449676496947	1.0690449676496947	0.0
49	count	7.0	7.0	7.0	7.0	7.0
49	mean	40.857142857142854	146.85714285714286	224.28571428571428	179.71428571428572	0.0
49	std	1.0690449676496974	6.414269805898185	1.6035674514745457	1.6035674514745457	0.0
50	count	7.0	7.0	7.0	7.0	7.0
50	mean	55.57142857142857	124.28571428571429	249.42857142857142	163.0	0.0
50	std	0.5345224838248489	5.3452248382484875	11.759494644146672	7.483314773547883	0.0
51	count	7.0	7.0	7.0	7.0	7.0
51	mean	34.57142857142857	120.28571428571429	187.71428571428572	174.0	0.0
51	std	0.5345224838248483	2.1380899352993956	5.345224838248485	0.0	0.0
52	count	6.0	6.0	6.0	6.0	6.0
52	mean	46.0	126.0	220.5	187.0	0.0
52	std	2.1908902300206643	4.381780460041329	1.6431676725154984	1.0954451150103321	0.0
53	count	6.0	6.0	6.0	6.0	6.0
53	mean	58.0	108.5	235.0	159.5	1.55
53	std	0.0	3.8340579025361627	5.477225575051661	6.024948132556827	1.0406728592598156
54	count	6.0	6.0	6.0	6.0	6.0
54	mean	44.5	105.5	204.0	158.5	0.0
54	std	1.6431676725154984	4.929503017546495	7.668115805072329	2.7386127875258333	0.0
55	count	6.0	6.0	6.0	6.0	6.0
55	mean	50.0	147.0	221.5	127.0	1.75
55	std	0.0	3.286335345030997	23.552069972722144	1.0954451150103321	0.9311283477587825
56	count	6.0	6.0	6.0	6.0	6.0
56	mean	67.0	135.0	218.5	114.5	2.0500000000000003
56	std	1.0954451150103328	16.431676725154983	8.215838362577491	0.5477225575051649	0.6024948132556828
57	count	6.0	6.0	6.0	6.0	6.0
57	mean	62.5	160.0	259.5	122.5	0.0
57	std	3.8340579025361636	0.0	14.788509052639482	2.7386127875258306	0.0
58	count	6.0	6.0	6.0	6.0	6.0
58	mean	55.5	115.0	194.5	119.5	1.45
58	std	1.6431676725154978	5.477225575051662	7.1203932475671605	7.12039324756716	0.05477225575051665
59	count	6.0	6.0	6.0	6.0	6.0
59	mean	52.0	115.0	216.5	158.0	1.6000000000000003
59	std	2.190890230020664	5.477225575051662	2.7386127875258333	0.0	0.0
60	count	6.0	6.0	6.0	6.0	6.0
60	mean	53.0	135.0	221.0	113.0	0.0
60	std	0.0	7.6681158050723255	5.477225575051662	2.190890230020665	0.0
61	count	6.0	6.0	6.0	6.0	6.0
61	mean	66.0	117.5	251.0	160.5	0.39999999999999997
61	std	1.0954451150103321	8.215838362577491	3.2863353450309956	2.738612787525832	0.21908902300206645
62	count	6.0	6.0	6.0	6.0	6.0
62	mean	44.0	135.0	241.5	147.5	0.15
62	std	1.0954451150103321	3.286335345030997	6.024948132556827	4.929503017546495	0.05477225575051661
63	count	6.0	6.0	6.0	6.0	6.0
63	mean	58.0	137.5	213.0	154.5	0.45
63	std	1.0954451150103321	2.7386127875258306	23.004347415216976	7.12039324756716	0.0547722557505166
64	count	6.0	6.0	6.0	6.0	6.0
64	mean	43.5	120.0	227.5	157.0	0.25
64	std	0.5477225575051661	2.1908902300206643	15.883954167649817	8.763560920082657	0.0547722557505166
65	count	6.0	6.0	6.0	6.0	6.0
65	mean	52.0	109.0	260.5	163.0	0.0
65	std	2.1908902300206643	1.0954451150103328	7.120393247567162	4.381780460041331	0.0
66	count	6.0	6.0	6.0	6.0	6.0
66	mean	66.0	144.5	202.5	136.5	2.6999999999999997
66	std	2.1908902300206643	0.5477225575051661	10.406728592598157	4.929503017546495	0.7668115805072325
67	count	6.0	6.0	6.0	6.0	6.0
67	mean	55.0	139.0	266.0	184.0	0.0
67	std	4.381780460041329	1.0954451150103321	5.477225575051661	2.1908902300206643	0.0
68	count	6.0	6.0	6.0	6.0	6.0
68	mean	53.5	140.0	301.0	147.5	1.4000000000000001
68	std	2.73861278752583	0.0	7.668115805072323	6.024948132556824	0.10954451150103313
69	count	6.0	6.0	6.0	6.0	6.0
69	mean	41.0	112.0	259.0	175.5	0.0
69	std	0.0	0.0	9.85900603509299	3.83405790253616	0.0
70	count	6.0	6.0	6.0	6.0	6.0
70	mean	54.0	133.5	296.0	164.5	0.0
70	std	0.0	1.6431676725155009	8.763560920082663	6.024948132556826	0.0
71	count	4.0	4.0	4.0	4.0	4.0
71	mean	58.0	125.0	220.0	144.0	0.4
71	std	0.0	0.0	0.0	0.0	0.0
72	count	4.0	4.0	4.0	4.0	4.0
72	mean	59.0	140.0	177.0	162.0	0.0
72	std	0.0	0.0	0.0	0.0	0.0
73	count	4.0	4.0	4.0	4.0	4.0
73	mean	58.0	140.0	211.0	165.0	0.0
73	std	0.0	0.0	0.0	0.0	0.0
74	count	4.0	4.0	4.0	4.0	4.0
74	mean	58.0	125.0	300.0	171.0	0.0
74	std	0.0	0.0	0.0	0.0	0.0
75	count	4.0	4.0	4.0	4.0	4.0
75	mean	47.0	108.0	243.0	152.0	0.0
75	std	0.0	0.0	0.0	0.0	0.0
76	count	4.0	4.0	4.0	4.0	4.0
76	mean	54.0	122.0	286.0	116.0	3.2
76	std	0.0	0.0	0.0	0.0	0.0
77	count	4.0	4.0	4.0	4.0	4.0
77	mean	42.0	130.0	180.0	150.0	0.0
77	std	0.0	0.0	0.0	0.0	0.0
78	count	4.0	4.0	4.0	4.0	4.0
78	mean	61.0	140.0	207.0	138.0	1.9
78	std	0.0	0.0	0.0	0.0	0.0
79	count	4.0	4.0	4.0	4.0	4.0
79	mean	55.0	132.0	353.0	132.0	1.2
79	std	0.0	0.0	0.0	0.0	0.0
80	count	4.0	4.0	4.0	4.0	4.0
80	mean	39.0	138.0	220.0	152.0	0.0
80	std	0.0	0.0	0.0	0.0	0.0
81	count	4.0	4.0	4.0	4.0	4.0
81	mean	55.0	128.0	205.0	130.0	2.0
81	std	0.0	0.0	0.0	0.0	0.0
82	count	4.0	4.0	4.0	4.0	4.0
82	mean	60.0	150.0	240.0	171.0	0.9
82	std	0.0	0.0	0.0	0.0	0.0
83	count	4.0	4.0	4.0	4.0	4.0
83	mean	54.0	108.0	309.0	156.0	0.0
83	std	0.0	0.0	0.0	0.0	0.0
84	count	4.0	4.0	4.0	4.0	4.0
84	mean	48.0	110.0	229.0	168.0	1.0
84	std	0.0	0.0	0.0	0.0	0.0
85	count	4.0	4.0	4.0	4.0	4.0
85	mean	52.0	112.0	230.0	160.0	0.0
85	std	0.0	0.0	0.0	0.0	0.0
86	count	4.0	4.0	4.0	4.0	4.0
86	mean	66.0	146.0	278.0	152.0	0.0
86	std	0.0	0.0	0.0	0.0	0.0
87	count	4.0	4.0	4.0	4.0	4.0
87	mean	48.0	130.0	256.0	150.0	0.0
87	std	0.0	0.0	0.0	0.0	0.0
88	count	4.0	4.0	4.0	4.0	4.0
88	mean	59.0	134.0	204.0	162.0	0.8
88	std	0.0	0.0	0.0	0.0	0.0
89	count	4.0	4.0	4.0	4.0	4.0
89	mean	56.0	125.0	249.0	144.0	1.2
89	std	0.0	0.0	0.0	0.0	0.0
90	count	4.0	4.0	4.0	4.0	4.0
90	mean	60.0	117.0	230.0	160.0	1.4
90	std	0.0	0.0	0.0	0.0	0.0
91	count	4.0	4.0	4.0	4.0	4.0
91	mean	40.0	110.0	167.0	114.0	2.0
91	std	0.0	0.0	0.0	0.0	0.0
92	count	4.0	4.0	4.0	4.0	4.0
92	mean	43.0	132.0	341.0	136.0	3.0
92	std	0.0	0.0	0.0	0.0	0.0
93	count	4.0	4.0	4.0	4.0	4.0
93	mean	70.0	130.0	322.0	109.0	2.4
93	std	0.0	0.0	0.0	0.0	0.0
94	count	4.0	4.0	4.0	4.0	4.0
94	mean	41.0	135.0	203.0	132.0	0.0
94	std	0.0	0.0	0.0	0.0	0.0
95	count	4.0	4.0	4.0	4.0	4.0
95	mean	53.0	140.0	203.0	155.0	3.1
95	std	0.0	0.0	0.0	0.0	0.0
96	count	4.0	4.0	4.0	4.0	4.0
96	mean	70.0	145.0	174.0	125.0	2.6
96	std	0.0	0.0	0.0	0.0	0.0
97	count	4.0	4.0	4.0	4.0	4.0
97	mean	51.0	94.0	227.0	154.0	0.0
97	std	0.0	0.0	0.0	0.0	0.0
98	count	4.0	4.0	4.0	4.0	4.0
98	mean	63.0	108.0	269.0	169.0	1.8
98	std	0.0	0.0	0.0	0.0	0.0
99	count	4.0	4.0	4.0	4.0	4.0
99	mean	63.0	130.0	330.0	132.0	1.8
99	std	0.0	0.0	0.0	0.0	0.0
100	count	4.0	4.0	4.0	4.0	4.0
100	mean	57.0	165.0	289.0	124.0	1.0
100	std	0.0	0.0	0.0	0.0	0.0
101	count	4.0	4.0	4.0	4.0	4.0
101	mean	55.0	140.0	217.0	111.0	5.6
101	std	0.0	0.0	0.0	0.0	0.0
102	count	4.0	4.0	4.0	4.0	4.0
102	mean	43.0	120.0	177.0	120.0	2.5
102	std	0.0	0.0	0.0	0.0	0.0
103	count	4.0	4.0	4.0	4.0	4.0
103	mean	44.0	120.0	169.0	144.0	2.8
103	std	0.0	0.0	0.0	0.0	0.0
104	count	4.0	4.0	4.0	4.0	4.0
104	mean	58.0	146.0	218.0	105.0	2.0
104	std	0.0	0.0	0.0	0.0	0.0
105	count	4.0	4.0	4.0	4.0	4.0
105	mean	54.0	110.0	206.0	108.0	0.0
105	std	0.0	0.0	0.0	0.0	0.0
106	count	4.0	4.0	4.0	4.0	4.0
106	mean	66.0	112.0	212.0	132.0	0.1
106	std	0.0	0.0	0.0	0.0	0.0
107	count	4.0	4.0	4.0	4.0	4.0
107	mean	61.0	134.0	234.0	145.0	2.6
107	std	0.0	0.0	0.0	0.0	0.0
108	count	4.0	4.0	4.0	4.0	4.0
108	mean	67.0	120.0	237.0	71.0	1.0
108	std	0.0	0.0	0.0	0.0	0.0
109	count	4.0	4.0	4.0	4.0	4.0
109	mean	35.0	120.0	198.0	130.0	1.6
109	std	0.0	0.0	0.0	0.0	0.0
110	count	4.0	4.0	4.0	4.0	4.0
110	mean	52.0	128.0	204.0	156.0	1.0
110	std	0.0	0.0	0.0	0.0	0.0
111	count	4.0	4.0	4.0	4.0	4.0
111	mean	29.0	130.0	204.0	202.0	0.0
111	std	0.0	0.0	0.0	0.0	0.0
112	count	4.0	4.0	4.0	4.0	4.0
112	mean	66.0	178.0	228.0	165.0	1.0
112	std	0.0	0.0	0.0	0.0	0.0
113	count	4.0	4.0	4.0	4.0	4.0
113	mean	67.0	160.0	286.0	108.0	1.5
113	std	0.0	0.0	0.0	0.0	0.0
114	count	4.0	4.0	4.0	4.0	4.0
114	mean	49.0	120.0	188.0	139.0	2.0
114	std	0.0	0.0	0.0	0.0	0.0
115	count	4.0	4.0	4.0	4.0	4.0
115	mean	62.0	120.0	281.0	103.0	1.4
115	std	0.0	0.0	0.0	0.0	0.0
116	count	4.0	4.0	4.0	4.0	4.0
116	mean	49.0	118.0	149.0	126.0	0.8
116	std	0.0	0.0	0.0	0.0	0.0
117	count	4.0	4.0	4.0	4.0	4.0
117	mean	58.0	120.0	284.0	160.0	1.8
117	std	0.0	0.0	0.0	0.0	0.0
118	count	4.0	4.0	4.0	4.0	4.0
118	mean	64.0	125.0	309.0	131.0	1.8
118	std	0.0	0.0	0.0	0.0	0.0
119	count	4.0	4.0	4.0	4.0	4.0
119	mean	63.0	140.0	187.0	144.0	4.0
119	std	0.0	0.0	0.0	0.0	0.0
120	count	4.0	4.0	4.0	4.0	4.0
120	mean	59.0	170.0	288.0	159.0	0.2
120	std	0.0	0.0	0.0	0.0	0.0
121	count	4.0	4.0	4.0	4.0	4.0
121	mean	58.0	114.0	318.0	140.0	4.4
121	std	0.0	0.0	0.0	0.0	0.0
